file,winner,F1,F2,F3,edit
b24eh,17,17,17,17,0
b24ei,11,11,11,11,0
b24er,12,12,12,12,0
b24ih,12,12,12,12,0
b24iy,12,12,12,12,0
b24oa,10,10,10,10,0
b24oo,4,4,4,4,0
b24uh,16,16,16,16,0
b24uw,12,12,12,12,0
b25ae,13,13,13,13,0
b25ah,12,12,12,12,0
b25aw,8,8,8,8,0
b25eh,16,16,16,16,0
b25ei,10,10,10,10,0
b25er,10,10,10,10,0
b25ih,12,12,12,12,0
b25iy,12,12,12,12,0
b25oa,8,8,8,8,0
b25oo,8,8,8,8,0
b25uh,8,8,8,8,0
b25uw,7,7,7,7,0
b26ae,10,10,10,10,0
b26ah,9,9,9,9,0
b26aw,8,8,8,8,0
b26eh,16,16,16,16,0
b26ei,12,12,12,12,0
b26er,12,12,12,12,0
b26ih,13,13,13,13,0
b26iy,16,16,16,16,0
b26oa,8,8,8,8,0
b26oo,8,8,8,8,0
b26uh,12,12,12,12,0
b26uw,8,8,8,8,0
b27ae,16,16,16,16,0
b27ah,16,16,16,16,0
b27aw,19,19,19,19,0
b27eh,16,16,16,16,0
b27ei,14,14,14,14,0
b27er,8,8,8,8,0
b27ih,13,13,13,13,0
b27iy,12,12,12,12,0
b27oa,12,12,12,12,0
b27oo,20,20,20,20,0
b27uh,17,17,17,17,0
b27uw,9,9,9,9,0
b28ae,10,10,10,10,0
b28ah,12,12,12,12,0
b28aw,12,12,12,12,0
b28eh,11,11,11,11,0
b28ei,11,11,11,11,0
b28er,8,8,8,8,0
b28ih,12,12,12,12,0
b28iy,16,16,16,16,0
b28oa,7,7,7,7,0
b28oo,4,4,4,4,0
b28uh,12,12,12,12,0
b28uw,8,8,8,8,0
b29ae,18,18,18,18,0
b29ah,13,13,13,13,0
b29aw,15,15,15,15,0
b29eh,18,18,18,18,0
b29ei,12,12,12,12,0
b29er,6,6,6,6,0
b29ih,8,8,8,8,0
b29iy,12,12,12,12,0
b29oa,12,12,12,12,0
b29oo,4,4,4,4,0
b29uh,12,12,12,12,0
b29uw,12,12,12,4,0
g01ae,12,12,12,12,0
g01ah,15,15,15,15,0
g01aw,15,15,15,15,0
g01eh,13,13,13,13,0
g01ei,12,12,12,12,0
g01er,5,5,5,5,0
g01ih,12,12,12,12,0
g01iy,12,12,12,12,0
g01oa,6,6,6,6,0
g01oo,16,16,16,16,0
g01uh,12,12,12,12,0
g01uw,8,8,8,8,0
g02ae,18,18,18,18,0
g02ah,18,18,18,18,0
g02aw,15,15,15,15,0
g02eh,18,18,18,18,0
g02ei,17,17,17,17,0
g02er,12,12,12,12,0
g02ih,18,18,18,18,0
g02iy,16,16,16,16,0
g02oa,9,9,9,9,0
g02oo,11,11,11,11,0
g02uh,16,16,16,16,0
g02uw,13,13,13,13,0
g04ae,19,19,19,19,0
g04ah,16,16,16,16,0
g04aw,13,13,13,13,0
g04eh,18,18,18,18,0
g04ei,15,15,15,15,0
g04er,8,8,8,8,0
g04ih,18,18,18,18,0
g04iy,11,11,11,11,0
g04oa,13,13,13,13,0
g04oo,9,9,9,9,0
g04uh,12,12,12,12,0
g04uw,8,8,8,8,0
g05ae,13,13,13,13,0
g05ah,16,16,16,16,0
g05aw,16,16,16,16,0
g05eh,17,17,17,17,0
g05ei,16,16,16,16,0
g05er,12,12,12,12,0
g05ih,14,14,14,14,0
g05iy,12,12,12,12,0
g05oa,12,12,12,12,0
g05oo,12,12,12,12,0
g05uh,12,12,12,12,0
g05uw,13,13,13,13,0
g06ae,17,17,17,17,0
g06ah,17,17,17,17,0
g06aw,14,14,14,14,0
g06eh,16,16,16,16,0
g06ei,16,16,16,16,0
g06er,12,12,12,12,0
g06ih,16,16,16,16,0
g06iy,16,16,16,16,0
g06oa,12,12,12,12,0
g06oo,12,12,12,12,0
g06uh,13,13,13,13,0
g06uw,14,14,14,14,0
g07ae,19,19,15,19,0
g07ah,18,18,18,18,0
g07aw,8,8,8,8,0
g07eh,11,11,11,11,0
g07ei,11,11,11,11,0
g07er,12,12,12,12,0
g07ih,12,12,12,12,0
g07iy,12,12,12,12,0
g07oa,7,7,7,7,0
g07oo,8,8,8,8,0
g07uh,9,9,9,9,0
g07uw,12,12,12,12,0
g08ae,16,16,16,16,0
g08ah,12,12,12,12,0
g08aw,12,12,12,12,0
g08eh,16,16,16,16,0
g08ei,17,17,17,17,0
g08er,7,7,7,7,0
g08ih,16,16,16,16,0
g08iy,12,12,12,12,0
g08oa,8,8,8,8,0
g08oo,11,11,11,11,0
g08uh,17,17,17,17,0
g08uw,8,8,8,8,0
g09ae,20,20,20,20,0
g09ah,17,17,17,17,0
g09aw,16,16,16,16,0
g09eh,17,17,17,17,0
g09ei,20,20,20,20,0
g09er,12,12,12,12,0
g09ih,16,16,16,16,0
g09iy,12,12,12,12,0
g09oa,7,7,7,7,0
g09oo,16,16,16,16,0
g09uh,17,17,17,17,0
g09uw,12,12,12,12,0
g10ae,16,16,16,16,0
g10ah,16,16,16,16,0
g10aw,14,14,14,14,0
g10eh,16,16,16,16,0
g10ei,15,15,15,15,0
g10er,8,8,8,8,0
g10ih,16,16,16,16,0
g10iy,16,16,16,16,0
g10oa,9,9,9,9,0
g10oo,12,12,12,12,0
g10uh,15,15,15,15,0
g10uw,12,12,12,12,0
g11ae,9,9,9,9,0
g11ah,10,10,10,10,0
g11aw,12,12,12,12,0
g11eh,14,14,14,14,0
g11ei,12,12,12,12,0
g11er,8,8,8,8,0
g11ih,16,16,16,16,0
g11iy,12,12,12,12,0
g11oa,10,10,10,10,0
g11oo,8,8,8,8,0
g11uh,8,8,8,8,0
g11uw,5,5,5,5,0
g12ae,20,20,20,20,0
g12ah,17,17,17,17,0
g12aw,16,16,16,16,0
g12eh,15,15,15,15,0
g12ei,13,13,13,13,0
g12er,12,12,12,12,0
g12ih,16,16,16,16,0
g12iy,16,16,16,16,0
g12oa,12,12,12,12,0
g12oo,20,20,20,20,0
g12uh,16,16,16,16,0
g12uw,12,12,12,12,0
g13ae,16,16,16,16,0
g13ah,13,13,13,13,0
g13aw,14,14,14,14,0
g13eh,18,18,18,18,0
g13ei,19,19,19,19,0
g13er,8,8,8,8,0
g13ih,16,16,16,16,0
g13iy,14,14,14,14,0
g13oa,8,8,8,8,0
g13oo,12,12,12,12,0
g13uh,12,12,12,12,0
g13uw,7,7,7,7,0
g14ae,15,15,15,15,0
g14ah,9,9,9,9,0
g14aw,9,9,9,9,0
g14eh,14,14,14,14,0
g14ei,12,12,12,12,0
g14er,8,8,8,8,0
g14ih,8,8,8,8,0
g14iy,5,5,5,5,0
g14oa,5,5,5,5,0
g14oo,8,8,8,8,0
g14uh,8,8,8,8,0
g14uw,8,8,8,8,0
g15ae,17,17,17,17,0
g15ah,15,15,15,15,0
g15aw,15,15,15,15,0
g15eh,17,17,17,17,0
g15ei,13,13,13,13,0
g15er,14,14,14,14,0
g15ih,16,16,16,16,0
g15iy,13,13,13,13,0
g15oa,10,10,10,10,0
g15oo,12,12,12,12,0
g15uh,17,17,17,17,0
g15uw,12,12,12,12,0
g17ae,12,12,12,12,0
g17ah,14,14,14,14,0
g17aw,14,14,14,14,0
g17eh,14,14,14,14,0
g17ei,14,14,14,14,0
g17er,13,13,13,13,0
g17ih,16,16,16,16,0
g17iy,13,13,13,13,0
g17oa,12,12,12,12,0
g17oo,12,12,12,12,0
g17uh,8,8,8,8,0
g17uw,12,12,12,12,0
g18ae,14,14,14,14,0
g18ah,12,12,12,12,0
g18aw,12,12,12,12,0
g18eh,16,16,16,16,0
g18ei,14,14,14,14,0
g18er,9,9,9,9,0
g18ih,16,16,16,16,0
g18iy,13,13,13,13,0
g18oa,16,16,16,16,0
g18oo,12,12,12,12,0
g18uh,14,14,14,14,0
g18uw,12,12,12,12,0
g19ae,16,16,16,16,0
g19ah,12,12,12,12,0
g19aw,18,18,18,18,0
g19eh,16,16,16,16,0
g19ei,12,12,12,12,0
g19er,10,10,10,10,0
g19ih,17,17,17,17,0
g19iy,14,14,14,14,0
g19oa,12,12,12,12,0
g19oo,12,12,12,12,0
g19uh,16,16,16,16,0
g19uw,12,12,12,12,0
g20ae,16,16,16,16,0
g20ah,16,12,16,16,0
g20aw,12,12,12,12,0
g20eh,16,16,16,16,0
g20ei,17,17,17,17,0
g20er,10,10,10,10,0
g20ih,17,17,17,17,0
g20iy,16,16,16,16,0
g20oa,12,12,12,12,0
g20oo,12,12,12,12,0
g20uh,16,16,16,16,0
g20uw,12,12,12,12,0
g21ae,13,13,13,13,0
g21ah,11,11,11,11,0
g21aw,12,12,12,12,0
g21eh,14,14,14,14,0
g21ei,12,12,12,12,0
g21er,8,8,8,8,0
g21ih,13,13,13,13,0
g21iy,17,17,17,17,0
g21oa,10,10,10,10,0
g21oo,13,13,13,13,0
g21uh,11,11,11,11,0
g21uw,10,10,10,10,0
m01ae,12,12,12,12,0
m01ah,14,14,14,14,0
m01aw,12,12,12,12,0
m01eh,13,13,13,13,0
m01ei,12,12,12,12,0
m01er,7,7,7,7,0
m01ih,8,8,8,8,0
m01iy,10,10,10,10,0
m01oa,8,8,8,8,0
m01oo,8,8,8,8,0
m01uh,11,11,11,11,0
m01uw,6,6,6,6,0
m02ae,14,14,14,14,0
m02ah,11,11,11,11,0
m02aw,5,5,5,5,0
m02eh,9,9,9,9,0
m02ei,12,12,12,12,0
m02er,3,3,3,3,0
m02ih,8,8,8,8,0
m02iy,13,13,13,13,0
m02oa,1,1,1,1,0
m02oo,3,3,3,3,0
m02uh,8,8,8,8,0
m02uw,4,4,4,4,0
m03ae,14,14,14,14,0
m03ah,8,8,8,8,0
m03aw,8,8,8,8,0
m03eh,6,6,6,6,0
m03ei,8,8,8,8,0
m03er,7,7,7,7,0
m03ih,6,6,6,6,0
m03iy,13,13,13,13,0
m03oa,7,7,7,7,0
m03oo,7,7,7,7,0
m03uh,8,8,8,8,0
m03uw,4,4,4,4,0
m04ae,16,16,16,16,0
m04ah,12,12,12,12,0
m04aw,4,4,4,4,0
m04eh,3,3,3,3,0
m04ei,8,8,8,8,0
m04er,4,4,4,4,0
m04ih,4,4,4,4,0
m04iy,8,8,8,8,0
m04oa,4,4,4,4,0
m04oo,3,3,3,3,0
m04uh,2,2,2,2,0
m04uw,1,1,1,1,0
m06ae,16,16,16,16,0
m06ah,10,10,10,10,0
m06aw,7,7,7,7,0
m06eh,10,10,10,10,0
m06ei,4,4,4,4,0
m06er,1,1,1,1,0
m06ih,3,3,3,3,0
m06iy,4,4,4,4,0
m06oa,4,4,4,4,0
m06oo,3,3,3,3,0
m06uh,8,8,8,8,0
m06uw,4,4,4,4,0
m07ae,12,12,12,12,0
m07ah,5,5,5,5,0
m07aw,6,6,6,6,0
m07eh,16,16,16,16,0
m07ei,12,12,12,12,0
m07er,4,4,4,4,0
m07ih,13,13,13,13,0
m07iy,12,12,12,12,0
m07oa,4,4,4,4,0
m07oo,3,3,3,3,0
m07uh,9,9,9,9,0
m07uw,3,3,3,3,0
m08ae,8,8,8,8,0
m08ah,7,7,7,7,0
m08aw,8,8,8,8,0
m08eh,13,13,13,13,0
m08ei,8,8,8,8,0
m08er,3,3,3,3,0
m08ih,8,8,8,8,0
m08iy,12,12,12,12,0
m08oa,8,8,8,8,0
m08oo,3,3,3,3,0
m08uh,8,8,8,8,0
m08uw,4,4,4,4,0
m09ae,6,6,6,6,0
m09ah,18,18,18,18,0
m09aw,4,4,4,4,0
m09eh,6,6,6,6,0
m09ei,8,8,8,8,0
m09er,9,9,9,9,0
m09ih,14,14,14,14,0
m09iy,12,12,12,12,0
m09oa,6,6,6,6,0
m09oo,8,8,8,8,0
m09uh,7,7,7,7,0
m09uw,4,4,4,4,0
m10ae,11,11,11,11,0
m10ah,8,8,8,8,0
m10aw,5,5,5,5,0
m10eh,11,11,11,11,0
m10ei,8,8,8,8,0
m10er,3,3,3,3,0
m10ih,8,8,8,8,0
m10iy,12,12,12,12,0
m10oa,6,6,6,6,0
m10oo,8,8,8,8,0
m10uh,12,12,12,12,0
m10uw,2,2,2,2,0
m11ae,6,6,6,6,0
m11ah,11,11,11,11,0
m11aw,6,6,6,6,0
m11eh,8,8,8,8,0
m11ei,12,12,12,12,0
m11er,4,4,4,4,0
m11ih,6,6,6,6,0
m11iy,8,8,8,8,0
m11oa,4,4,4,4,0
m11oo,8,8,8,8,0
m11uh,8,8,8,8,0
m11uw,1,1,1,1,0
m13ae,11,11,11,11,0
m13ah,12,12,12,12,0
m13aw,5,5,5,5,0
m13eh,16,16,16,16,0
m13ei,12,12,12,12,0
m13er,2,2,2,2,0
m13ih,12,12,12,12,0
m13iy,13,13,13,13,0
m13oa,8,8,8,8,0
m13oo,8,8,8,8,0
m13uh,8,8,8,8,0
m13uw,10,10,10,10,0
m14ae,7,7,7,7,0
m14ah,8,8,8,8,0
m14aw,5,5,5,5,0
m14eh,6,6,6,6,0
m14ei,11,11,11,11,0
m14er,3,3,3,3,0
m14ih,8,8,8,8,0
m14iy,12,12,12,12,0
m14oa,4,4,4,4,0
m14oo,2,2,2,2,0
m14uh,8,8,8,8,0
m14uw,10,10,10,10,0
m16ae,12,12,12,12,0
m16ah,12,12,12,12,0
m16aw,10,10,10,10,0
m16eh,11,11,11,11,0
m16ei,8,8,8,8,0
m16er,3,3,3,3,0
m16ih,8,8,8,8,0
m16iy,12,12,12,12,0
m16oa,4,4,4,4,0
m16oo,3,3,3,3,0
m16uh,8,8,8,8,0
m16uw,5,5,5,5,0
m17ae,8,8,8,8,0
m17ah,9,9,9,9,0
m17aw,8,8,8,8,0
m17eh,12,12,12,12,0
m17ei,8,8,8,8,0
m17er,3,3,3,3,0
m17ih,8,8,8,8,0
m17iy,8,8,8,8,0
m17oa,4,4,4,4,0
m17oo,3,3,3,3,0
m17uh,7,7,7,7,0
m17uw,4,4,4,4,0
m18ae,12,12,12,12,0
m18ah,12,12,12,12,0
m18aw,12,12,12,12,0
m18eh,7,7,7,7,0
m18ei,12,12,12,12,0
m18er,4,4,4,4,0
m18ih,11,11,11,11,0
m18iy,5,5,5,5,0
m18oa,12,12,12,12,0
m18oo,12,12,12,12,0
m18uh,12,12,12,12,0
m18uw,10,10,10,10,0
m19ae,7,7,7,7,0
m19ah,16,16,16,16,0
m19aw,8,8,8,8,0
m19eh,10,10,10,10,0
m19ei,14,14,14,14,0
m19er,7,7,7,7,0
m19ih,7,7,7,7,0
m19iy,9,9,9,9,0
m19oa,5,5,5,5,0
m19oo,5,5,5,5,0
m19uh,12,12,12,12,0
m19uw,8,8,8,8,0
m20ae,19,19,19,19,0
m20ah,9,9,9,9,0
m20aw,11,11,11,11,0
m20eh,20,20,20,20,0
m20ei,16,16,16,16,0
m20er,7,7,7,7,0
m20ih,11,11,11,11,0
m20iy,14,14,14,14,0
m20oa,8,8,8,8,0
m20oo,7,7,7,7,0
m20uh,8,8,8,8,0
m20uw,4,4,4,4,0
m21ae,12,12,12,12,0
m21ah,6,6,6,6,0
m21aw,8,8,8,8,0
m21eh,12,12,12,12,0
m21ei,1,1,1,1,0
m21er,4,4,4,4,0
m21ih,8,8,8,8,0
m21iy,8,8,8,8,0
m21oa,1,1,1,1,0
m21oo,1,1,1,1,0
m21uh,5,5,5,5,0
m21uw,1,5,5,5,0
m22ae,6,6,6,6,0
m22ah,9,9,9,9,0
m22aw,8,8,8,8,0
m22eh,17,17,17,17,0
m22ei,12,12,12,12,0
m22er,3,3,3,3,0
m22ih,10,10,10,10,0
m22iy,12,12,12,12,0
m22oa,12,12,12,12,0
m22oo,11,11,11,11,0
m22uh,16,16,16,16,0
m22uw,4,4,4,4,0
m23ae,16,16,16,16,0
m23ah,7,7,7,7,0
m23aw,5,5,5,5,0
m23eh,16,16,16,11,0
m23ei,3,3,3,3,0
m23er,3,3,3,3,0
m23ih,4,4,4,4,0
m23iy,5,5,5,5,0
m23oa,9,9,9,9,0
m23oo,3,3,3,3,0
m23uh,12,12,12,12,0
m23uw,4,4,4,4,0
m24ae,11,11,11,11,0
m24ah,14,14,14,14,0
m24aw,13,13,13,13,0
m24eh,13,13,13,13,0
m24ei,11,11,11,11,0
m24er,8,8,8,8,0
m24ih,10,10,10,10,0
m24iy,12,12,12,12,0
m24oa,8,8,8,8,0
m24oo,8,8,8,8,0
m24uh,9,9,9,9,0
m24uw,11,11,11,11,0
m25ae,20,20,20,20,0
m25ah,10,10,10,10,0
m25aw,10,10,10,10,0
m25eh,12,12,12,12,0
m25ei,13,13,13,13,0
m25er,8,8,8,8,0
m25ih,8,8,8,8,0
m25iy,12,12,12,12,0
m25oa,7,7,7,7,0
m25oo,8,8,8,8,0
m25uh,8,8,8,8,0
m25uw,8,8,8,8,0
m26ae,5,5,5,5,0
m26ah,15,15,15,15,0
m26aw,8,8,8,8,0
m26eh,8,8,8,8,0
m26ei,8,8,8,8,0
m26er,1,1,1,1,0
m26ih,7,7,7,7,0
m26iy,14,14,14,14,0
m26oa,8,8,8,8,0
m26oo,4,4,4,4,0
m26uh,12,12,12,12,0
m26uw,9,9,9,9,0
m27ae,10,10,10,10,0
m27ah,6,6,6,6,0
m27aw,7,7,7,7,0
m27eh,3,3,3,3,0
m27ei,3,3,3,3,0
m27er,3,3,3,3,0
m27ih,2,2,2,2,0
m27iy,8,8,8,8,0
m27oa,3,3,3,3,0
m27oo,4,4,4,4,0
m27uh,3,3,3,3,0
m27uw,8,8,8,8,0
m28ae,9,9,9,9,0
m28ah,8,8,8,8,0
m28aw,4,4,4,4,0
m28eh,8,8,8,8,0
m28ei,5,5,5,5,0
m28er,4,4,4,4,0
m28ih,7,7,7,7,0
m28iy,16,16,16,16,0
m28oa,3,3,3,3,0
m28oo,7,7,7,7,0
m28uh,7,7,7,7,0
m28uw,12,12,12,12,0
m29ae,14,14,14,14,0
m29ah,12,12,12,12,0
m29aw,12,12,12,12,0
m29eh,15,15,15,15,0
m29ei,12,12,12,12,0
m29er,4,4,4,4,0
m29ih,8,8,8,8,0
m29iy,12,12,12,12,0
m29oa,8,8,8,8,0
m29oo,1,1,1,1,0
m29uh,8,8,8,8,0
m29uw,12,12,12,12,0
m30ae,11,11,11,11,0
m30ah,12,12,12,12,0
m30aw,10,10,10,10,0
m30eh,12,12,12,12,0
m30ei,12,12,12,12,0
m30er,4,4,4,4,0
m30ih,12,12,12,12,0
m30iy,12,12,12,12,0
m30oa,4,4,4,4,0
m30oo,4,4,4,4,0
m30uh,8,8,8,8,0
m30uw,9,9,9,9,0
m31ae,18,18,18,18,0
m31ah,16,16,16,16,0
m31aw,3,3,3,3,0
m31eh,6,6,6,6,0
m31ei,4,4,4,4,0
m31er,1,1,1,1,0
m31ih,9,9,9,9,0
m31iy,4,4,4,4,0
m31oa,6,6,6,6,0
m31oo,4,4,4,4,0
m31uh,7,7,7,7,0
m31uw,1,1,1,1,0
m32ae,16,16,16,16,0
m32ah,14,14,14,14,0
m32aw,16,16,16,9,0
m32eh,15,15,15,15,0
m32ei,8,8,8,8,0
m32er,6,6,6,6,0
m32ih,10,10,10,10,0
m32iy,14,14,14,14,0
m32oa,3,3,3,3,0
m32oo,5,5,5,5,0
m32uh,18,4,4,4,0
m32uw,4,4,4,4,0
m33ae,10,10,10,10,0
m33ah,8,8,8,8,0
m33aw,9,9,9,9,0
m33eh,9,9,9,9,0
m33ei,8,8,8,8,0
m33er,4,4,4,4,0
m33ih,12,12,12,12,0
m33iy,12,12,12,12,0
m33oa,4,4,4,4,0
m33oo,9,9,9,9,0
m33uh,8,8,8,8,0
m33uw,4,4,4,4,0
m34ae,3,3,3,3,0
m34ah,2,2,2,2,0
m34aw,2,2,2,2,0
m34eh,7,7,7,7,0
m34ei,4,4,4,4,0
m34er,1,1,1,1,0
m34ih,6,6,6,6,0
m34iy,16,16,16,16,0
m34oa,10,10,10,10,0
m34oo,1,1,1,1,0
m34uh,1,1,1,1,0
m34uw,4,4,4,4,0
m35ae,10,10,10,10,0
m35ah,8,8,8,8,0
m35aw,8,8,8,8,0
m35eh,11,11,11,11,0
m35ei,7,7,7,7,0
m35er,1,1,1,1,0
m35ih,8,8,8,8,0
m35iy,12,12,12,12,0
m35oa,4,4,4,4,0
m35oo,4,4,4,4,0
m35uh,1,1,1,1,0
m35uw,8,8,8,8,0
